03-04 17:32:54  New day is coming 4 
03-04 17:32:54  Not game time, sleep... 
03-04 18:57:54  Not game time, sleep... 
03-04 18:58:54  Not game time, sleep... 
03-04 18:59:54  Not game time, sleep... 
03-04 19:00:54  Not game time, sleep... 
03-04 19:01:54  Not game time, sleep... 
03-04 19:02:54  Not game time, sleep... 
03-04 19:03:54  Not game time, sleep... 
03-04 19:04:54  Not game time, sleep... 
03-04 19:05:54  Not game time, sleep... 
03-04 19:06:54  Not game time, sleep... 
03-04 19:07:54  Not game time, sleep... 
03-04 19:08:54  Not game time, sleep... 
03-04 19:09:54  Not game time, sleep... 
03-04 19:10:54  Not game time, sleep... 
03-04 19:11:54  Not game time, sleep... 
03-04 19:12:54  Not game time, sleep... 
03-04 19:13:54  Not game time, sleep... 
03-04 19:14:54  Not game time, sleep... 
03-04 19:15:54  Not game time, sleep... 
03-04 19:16:54  Not game time, sleep... 
03-04 19:17:54  Not game time, sleep... 
03-04 19:18:54  Not game time, sleep... 
03-04 19:19:54  Not game time, sleep... 
03-04 19:20:54  Not game time, sleep... 
03-04 19:21:54  Not game time, sleep... 
03-04 19:22:54  Not game time, sleep... 
03-04 19:23:54  Not game time, sleep... 
03-04 19:24:54  Not game time, sleep... 
03-04 19:25:54  Not game time, sleep... 
03-04 19:26:54  Not game time, sleep... 
03-04 19:27:54  Not game time, sleep... 
03-04 19:28:54  Not game time, sleep... 
03-04 19:29:54  Not game time, sleep... 
03-04 19:30:54  Not game time, sleep... 
03-04 19:31:54  Not game time, sleep... 
03-04 19:32:54  Not game time, sleep... 
03-04 19:33:54  Not game time, sleep... 
03-04 19:34:54  Not game time, sleep... 
03-04 19:35:54  Not game time, sleep... 
03-04 19:36:54  Not game time, sleep... 
03-04 19:37:54  Not game time, sleep... 
03-04 19:38:54  Not game time, sleep... 
03-04 19:39:54  Not game time, sleep... 
03-04 19:40:54  Not game time, sleep... 
03-04 19:41:54  Not game time, sleep... 
03-04 19:42:54  Not game time, sleep... 
03-04 19:43:54  Not game time, sleep... 
03-04 19:44:54  Not game time, sleep... 
03-04 19:45:54  Not game time, sleep... 
03-04 19:46:54  Not game time, sleep... 
03-04 19:47:54  Not game time, sleep... 
03-04 19:48:54  Not game time, sleep... 
03-04 19:49:54  Not game time, sleep... 
03-04 19:50:54  Not game time, sleep... 
03-04 19:51:54  Not game time, sleep... 
03-04 19:52:54  Not game time, sleep... 
03-04 19:53:54  Not game time, sleep... 
03-04 19:54:54  Not game time, sleep... 
03-04 19:55:54  Not game time, sleep... 
03-04 19:56:54  Not game time, sleep... 
03-04 19:57:54  Not game time, sleep... 
03-04 19:58:54  Not game time, sleep... 
03-04 19:59:54  Not game time, sleep... 
03-04 20:00:54  Not game time, sleep... 
03-04 20:01:54  Not game time, sleep... 
03-04 20:02:54  Not game time, sleep... 
03-04 20:03:54  Not game time, sleep... 
03-04 20:04:54  Not game time, sleep... 
03-04 20:05:54  Not game time, sleep... 
03-04 20:06:54  Not game time, sleep... 
03-04 20:07:04  New day is coming 4 
03-04 20:07:04  Not game time, sleep... 
03-04 20:08:04  Not game time, sleep... 
03-04 20:09:04  Not game time, sleep... 
03-04 20:10:04  Not game time, sleep... 
03-04 20:11:04  Not game time, sleep... 
03-04 20:12:04  Not game time, sleep... 
03-04 20:13:04  Not game time, sleep... 
03-04 20:14:04  Not game time, sleep... 
03-04 20:15:04  Not game time, sleep... 
03-04 20:16:04  Not game time, sleep... 
03-04 20:17:04  Not game time, sleep... 
03-04 20:18:04  Not game time, sleep... 
03-04 20:19:04  Not game time, sleep... 
03-04 20:20:04  Not game time, sleep... 
03-04 20:21:04  Not game time, sleep... 
03-04 20:22:04  Not game time, sleep... 
03-04 20:23:04  Not game time, sleep... 
03-04 20:24:04  Not game time, sleep... 
03-04 20:25:04  Not game time, sleep... 
03-04 20:26:04  Not game time, sleep... 
03-04 20:27:04  Not game time, sleep... 
03-04 20:28:04  Not game time, sleep... 
03-04 20:29:04  Not game time, sleep... 
03-04 20:30:04  Not game time, sleep... 
03-04 20:31:04  Not game time, sleep... 
03-04 20:32:04  Not game time, sleep... 
03-04 20:33:04  Not game time, sleep... 
03-04 20:34:04  Not game time, sleep... 
03-04 20:35:04  Not game time, sleep... 
03-04 20:36:04  Not game time, sleep... 
03-04 20:37:04  Not game time, sleep... 
03-04 20:38:04  Not game time, sleep... 
03-04 20:39:04  Not game time, sleep... 
03-04 20:40:04  Not game time, sleep... 
03-04 20:41:04  Not game time, sleep... 
03-04 20:42:04  Not game time, sleep... 
03-04 20:43:04  Not game time, sleep... 
03-04 20:44:04  Not game time, sleep... 
03-04 20:45:04  Not game time, sleep... 
03-04 20:46:04  Not game time, sleep... 
03-04 20:47:04  Not game time, sleep... 
03-04 20:48:04  Not game time, sleep... 
03-04 20:49:04  Not game time, sleep... 
03-04 20:50:04  Not game time, sleep... 
03-04 20:51:04  Not game time, sleep... 
03-04 20:52:04  Not game time, sleep... 
03-04 20:53:04  Not game time, sleep... 
03-04 20:54:04  Not game time, sleep... 
03-04 20:55:04  Not game time, sleep... 
03-04 20:56:04  Not game time, sleep... 
03-04 20:57:04  Not game time, sleep... 
03-04 20:58:04  Not game time, sleep... 
03-04 20:59:04  Not game time, sleep... 
03-04 21:00:04  Not game time, sleep... 
03-04 21:01:04  Not game time, sleep... 
03-04 21:02:04  Not game time, sleep... 
03-04 21:03:04  Not game time, sleep... 
03-04 21:04:04  Not game time, sleep... 
03-04 21:05:04  Not game time, sleep... 
03-04 21:06:04  Not game time, sleep... 
03-04 21:07:04  Not game time, sleep... 
03-04 21:08:04  Not game time, sleep... 
03-04 21:09:04  Not game time, sleep... 
03-04 21:10:04  Not game time, sleep... 
03-04 21:11:04  Not game time, sleep... 
03-04 21:12:04  Not game time, sleep... 
03-04 21:13:04  Not game time, sleep... 
03-04 21:14:04  Not game time, sleep... 
03-04 21:15:04  Not game time, sleep... 
03-04 21:16:04  Not game time, sleep... 
03-04 21:17:04  Not game time, sleep... 
03-04 21:18:04  Not game time, sleep... 
03-04 21:19:04  Not game time, sleep... 
03-04 21:20:04  Not game time, sleep... 
03-04 21:21:04  Not game time, sleep... 
03-04 21:22:04  Not game time, sleep... 
03-04 21:23:04  Not game time, sleep... 
03-04 21:24:04  Not game time, sleep... 
03-04 21:25:04  Not game time, sleep... 
03-04 21:26:04  Not game time, sleep... 
03-04 21:27:04  Not game time, sleep... 
03-04 21:28:04  Not game time, sleep... 
03-04 21:29:04  Not game time, sleep... 
03-04 21:30:04  Not game time, sleep... 
03-04 21:31:04  Not game time, sleep... 
03-04 21:32:04  Not game time, sleep... 
03-04 21:33:04  Not game time, sleep... 
03-04 21:34:04  Not game time, sleep... 
03-04 21:35:04  Not game time, sleep... 
03-04 21:36:04  Not game time, sleep... 
03-04 21:37:04  Not game time, sleep... 
03-04 21:38:04  Not game time, sleep... 
03-04 21:39:04  Not game time, sleep... 
03-04 21:40:04  Not game time, sleep... 
03-04 21:41:04  Not game time, sleep... 
03-04 21:42:04  Not game time, sleep... 
03-04 21:43:04  Not game time, sleep... 
03-04 21:44:04  Not game time, sleep... 
03-04 21:45:04  Not game time, sleep... 
03-04 21:46:04  Not game time, sleep... 
03-04 21:47:04  Not game time, sleep... 
03-04 21:48:04  Not game time, sleep... 
03-04 21:49:04  Not game time, sleep... 
03-04 21:50:04  Not game time, sleep... 
03-04 21:51:04  Not game time, sleep... 
03-04 21:52:04  Not game time, sleep... 
03-04 21:53:04  Not game time, sleep... 
03-04 21:54:04  Not game time, sleep... 
03-04 21:55:04  Not game time, sleep... 
03-04 21:56:04  Not game time, sleep... 
03-04 21:57:04  Not game time, sleep... 
03-04 21:58:04  Not game time, sleep... 
03-04 21:59:04  Not game time, sleep... 
03-04 22:00:04  Not game time, sleep... 
03-04 22:01:04  Not game time, sleep... 
03-04 22:02:04  Not game time, sleep... 
03-04 22:03:04  Not game time, sleep... 
03-04 22:04:04  Not game time, sleep... 
03-04 22:05:04  Not game time, sleep... 
03-04 22:06:04  Not game time, sleep... 
03-04 22:07:04  Not game time, sleep... 
03-04 22:08:04  Not game time, sleep... 
03-04 22:09:04  Not game time, sleep... 
03-04 22:10:04  Not game time, sleep... 
03-04 22:11:04  Not game time, sleep... 
03-04 22:12:04  Not game time, sleep... 
03-04 22:13:04  Not game time, sleep... 
03-04 22:14:04  Not game time, sleep... 
03-04 22:15:04  Not game time, sleep... 
03-04 22:16:04  Not game time, sleep... 
03-04 22:17:04  Not game time, sleep... 
03-04 22:18:04  Not game time, sleep... 
03-04 22:19:04  Not game time, sleep... 
03-04 22:20:04  Not game time, sleep... 
03-04 22:21:04  Not game time, sleep... 
03-04 22:22:04  Not game time, sleep... 
03-04 22:23:04  Not game time, sleep... 
03-04 22:24:04  Not game time, sleep... 
03-04 22:25:04  Not game time, sleep... 
03-04 22:26:04  Not game time, sleep... 
03-04 22:27:04  Not game time, sleep... 
03-04 22:28:04  Not game time, sleep... 
03-04 22:29:04  Not game time, sleep... 
03-04 22:30:04  Not game time, sleep... 
03-04 22:31:04  Not game time, sleep... 
03-04 22:32:04  Not game time, sleep... 
03-04 22:33:04  Not game time, sleep... 
03-04 22:34:04  Not game time, sleep... 
03-04 22:35:04  Not game time, sleep... 
03-04 22:36:04  Not game time, sleep... 
03-04 22:37:04  Not game time, sleep... 
03-04 22:38:04  Not game time, sleep... 
03-04 22:39:04  Not game time, sleep... 
03-04 22:40:04  Not game time, sleep... 
03-04 22:41:04  Not game time, sleep... 
03-04 22:42:04  Not game time, sleep... 
03-04 22:43:04  Not game time, sleep... 
03-04 22:44:04  Not game time, sleep... 
03-04 22:45:04  Not game time, sleep... 
03-04 22:46:04  Not game time, sleep... 
03-04 22:47:04  Not game time, sleep... 
03-04 22:48:04  Not game time, sleep... 
03-04 22:49:04  Not game time, sleep... 
03-04 22:50:04  Not game time, sleep... 
03-04 22:51:04  Not game time, sleep... 
03-04 22:52:04  Not game time, sleep... 
03-04 22:53:04  Not game time, sleep... 
03-04 22:54:04  Not game time, sleep... 
03-04 22:55:04  Not game time, sleep... 
03-04 22:56:04  Not game time, sleep... 
03-04 22:57:04  Not game time, sleep... 
03-04 22:58:04  Not game time, sleep... 
03-04 22:59:04  Not game time, sleep... 
03-04 23:00:04  Not game time, sleep... 
03-04 23:01:04  Not game time, sleep... 
03-04 23:02:04  Not game time, sleep... 
03-04 23:03:04  Not game time, sleep... 
03-04 23:04:04  Not game time, sleep... 
03-04 23:05:04  Not game time, sleep... 
03-04 23:06:04  Not game time, sleep... 
03-04 23:07:04  Not game time, sleep... 
03-04 23:08:04  Not game time, sleep... 
03-04 23:09:04  Not game time, sleep... 
03-04 23:10:04  Not game time, sleep... 
03-04 23:11:04  Not game time, sleep... 
03-04 23:12:04  Not game time, sleep... 
03-04 23:13:04  Not game time, sleep... 
03-04 23:14:04  Not game time, sleep... 
03-04 23:15:04  Not game time, sleep... 
03-04 23:16:04  Not game time, sleep... 
03-04 23:17:04  Not game time, sleep... 
03-04 23:18:04  Not game time, sleep... 
03-04 23:19:04  Not game time, sleep... 
03-04 23:20:04  Not game time, sleep... 
03-04 23:21:04  Not game time, sleep... 
03-04 23:22:04  Not game time, sleep... 
03-04 23:23:04  Not game time, sleep... 
03-04 23:24:04  Not game time, sleep... 
03-04 23:25:04  Not game time, sleep... 
03-04 23:26:04  Not game time, sleep... 
03-04 23:27:04  Not game time, sleep... 
03-04 23:28:04  Not game time, sleep... 
03-04 23:29:04  Not game time, sleep... 
03-04 23:30:04  Not game time, sleep... 
03-04 23:31:04  Not game time, sleep... 
03-04 23:32:04  Not game time, sleep... 
03-04 23:33:04  Not game time, sleep... 
03-04 23:34:04  Not game time, sleep... 
03-04 23:35:04  Not game time, sleep... 
03-04 23:36:04  Not game time, sleep... 
03-04 23:37:04  Not game time, sleep... 
03-04 23:38:04  Not game time, sleep... 
03-04 23:39:04  Not game time, sleep... 
03-04 23:40:04  Not game time, sleep... 
03-04 23:41:04  Not game time, sleep... 
03-04 23:42:04  Not game time, sleep... 
03-04 23:43:04  Not game time, sleep... 
03-04 23:44:04  Not game time, sleep... 
03-04 23:45:04  Not game time, sleep... 
03-04 23:46:04  Not game time, sleep... 
03-04 23:47:04  Not game time, sleep... 
03-04 23:48:04  Not game time, sleep... 
03-04 23:49:04  Not game time, sleep... 
03-04 23:50:04  Not game time, sleep... 
03-04 23:51:04  Not game time, sleep... 
03-04 23:52:04  Not game time, sleep... 
03-04 23:53:04  Not game time, sleep... 
03-04 23:54:04  Not game time, sleep... 
03-04 23:55:04  Not game time, sleep... 
03-04 23:56:04  Not game time, sleep... 
03-04 23:57:04  Not game time, sleep... 
03-04 23:58:04  Not game time, sleep... 
03-04 23:59:04  Not game time, sleep... 
03-05 00:00:04  New day is coming 5 
03-05 00:00:04  Not game time, sleep... 
03-05 00:01:04  Not game time, sleep... 
03-05 00:02:04  Not game time, sleep... 
03-05 00:03:04  Not game time, sleep... 
03-05 00:04:04  Not game time, sleep... 
03-05 00:05:04  Not game time, sleep... 
03-05 00:06:04  Not game time, sleep... 
03-05 00:07:04  Not game time, sleep... 
03-05 00:08:04  Not game time, sleep... 
03-05 00:09:04  Not game time, sleep... 
03-05 00:10:04  Not game time, sleep... 
03-05 00:11:04  Not game time, sleep... 
03-05 00:12:04  Not game time, sleep... 
03-05 00:13:04  Not game time, sleep... 
03-05 00:14:04  Not game time, sleep... 
03-05 00:15:04  Not game time, sleep... 
03-05 00:16:04  Not game time, sleep... 
03-05 00:17:04  Not game time, sleep... 
03-05 00:18:04  Not game time, sleep... 
03-05 00:19:04  Not game time, sleep... 
03-05 00:20:04  Not game time, sleep... 
03-05 00:21:04  Not game time, sleep... 
03-05 00:22:04  Not game time, sleep... 
03-05 00:23:04  Not game time, sleep... 
03-05 00:24:04  Not game time, sleep... 
03-05 00:25:04  Not game time, sleep... 
03-05 00:26:04  Not game time, sleep... 
03-05 00:27:04  Not game time, sleep... 
03-05 00:28:04  Not game time, sleep... 
03-05 00:29:04  Not game time, sleep... 
03-05 00:30:04  Not game time, sleep... 
03-05 00:31:04  Not game time, sleep... 
03-05 00:32:04  Not game time, sleep... 
03-05 00:33:04  Not game time, sleep... 
03-05 00:34:04  Not game time, sleep... 
03-05 00:35:04  Not game time, sleep... 
03-05 00:36:04  Not game time, sleep... 
03-05 00:37:04  Not game time, sleep... 
03-05 00:38:04  Not game time, sleep... 
03-05 00:39:04  Not game time, sleep... 
03-05 00:40:04  Not game time, sleep... 
03-05 00:41:04  Not game time, sleep... 
03-05 00:42:04  Not game time, sleep... 
03-05 00:43:04  Not game time, sleep... 
03-05 00:44:04  Not game time, sleep... 
03-05 00:45:04  Not game time, sleep... 
03-05 00:46:04  Not game time, sleep... 
03-05 00:47:04  Not game time, sleep... 
03-05 00:48:04  Not game time, sleep... 
03-05 00:49:04  Not game time, sleep... 
03-05 00:50:04  Not game time, sleep... 
03-05 00:51:04  Not game time, sleep... 
03-05 00:52:04  Not game time, sleep... 
03-05 00:53:04  Not game time, sleep... 
03-05 00:54:04  Not game time, sleep... 
03-05 00:55:04  Not game time, sleep... 
03-05 00:56:04  Not game time, sleep... 
03-05 00:57:04  Not game time, sleep... 
03-05 00:58:04  Not game time, sleep... 
03-05 00:59:04  Not game time, sleep... 
03-05 01:00:04  It is Game time. 
03-05 01:00:32  Start Player successfully. 
03-05 01:00:32  Find postion, x=192, y=93 
03-05 01:00:34  Start Battle 
03-05 01:00:39  Total have win: 0 
03-05 01:00:39  Start Match 
03-05 01:00:41  start round match 
03-05 01:00:44  Looking for image: matching.png 
03-05 01:00:44  Still in matching 
03-05 01:00:47  Looking for image: matching.png 
03-05 01:00:47  Still in matching 
03-05 01:00:49  Looking for image: matching.png 
03-05 01:00:50  Still in matching 
03-05 01:00:52  Looking for image: matching.png 
03-05 01:00:53  Still in matching 
03-05 01:00:55  Looking for image: matching.png 
03-05 01:00:56  Still in matching 
03-05 01:00:58  Looking for image: matching.png 
03-05 01:01:04  Not found matching.png, maybe match done 
03-05 01:01:06  Looking for image: matching.png 
03-05 01:01:12  Not found matching.png, maybe match done 
03-05 01:01:14  Looking for image: matching.png 
03-05 01:01:19  Not found matching.png, maybe match done 
03-05 01:01:19  matching done 
03-05 01:01:19  Game is going on. 
03-05 01:01:29  Select card. 
03-05 01:01:35  Wait for succeed 
03-05 01:01:35  Game is going on. 
03-05 01:01:53  Game is going on. 
03-05 01:01:53  Looking for image: bk1.png 
03-05 01:02:16  Game is going on. 
03-05 01:02:16  Looking for image: bk1.png 
03-05 01:02:40  Game is going on. 
03-05 01:02:40  Looking for image: bk1.png 
03-05 01:02:46  I Give up 
03-05 01:03:09  Looking for image: bk1.png 
03-05 01:03:09  Total have win: 0 
03-05 01:03:09  Start Match 
03-05 01:03:12  start round match 
03-05 01:03:14  Looking for image: matching.png 
03-05 01:03:15  Still in matching 
03-05 01:03:17  Looking for image: matching.png 
03-05 01:03:17  Still in matching 
03-05 01:03:20  Looking for image: matching.png 
03-05 01:03:20  Still in matching 
03-05 01:03:22  Looking for image: matching.png 
03-05 01:03:28  Not found matching.png, maybe match done 
03-05 01:03:31  Looking for image: matching.png 
03-05 01:03:36  Not found matching.png, maybe match done 
03-05 01:03:38  Looking for image: matching.png 
03-05 01:03:44  Not found matching.png, maybe match done 
03-05 01:03:44  matching done 
03-05 01:03:44  Game is going on. 
03-05 01:03:54  Select card. 
03-05 01:03:59  Wait for succeed 
03-05 01:03:59  Game is going on. 
03-05 01:04:17  Game is going on. 
03-05 01:04:17  Looking for image: bk1.png 
03-05 01:04:41  Game is going on. 
03-05 01:04:41  Looking for image: bk1.png 
03-05 01:05:04  Game is going on. 
03-05 01:05:04  Looking for image: bk1.png 
03-05 01:05:10  I Give up 
03-05 01:05:34  Looking for image: bk1.png 
03-05 01:05:34  Total have win: 0 
03-05 01:05:34  Start Match 
03-05 01:05:36  start round match 
03-05 01:05:39  Looking for image: matching.png 
03-05 01:05:39  Still in matching 
03-05 01:05:42  Looking for image: matching.png 
03-05 01:05:42  Still in matching 
03-05 01:05:44  Looking for image: matching.png 
03-05 01:05:45  Still in matching 
03-05 01:05:47  Looking for image: matching.png 
03-05 01:05:49  Still in matching 
03-05 01:05:51  Looking for image: matching.png 
03-05 01:05:57  Not found matching.png, maybe match done 
03-05 01:05:59  Looking for image: matching.png 
03-05 01:06:05  Not found matching.png, maybe match done 
03-05 01:06:07  Looking for image: matching.png 
03-05 01:06:13  Not found matching.png, maybe match done 
03-05 01:06:13  matching done 
03-05 01:06:13  Game is going on. 
03-05 01:06:23  Select card. 
03-05 01:06:28  Wait for succeed 
03-05 01:06:28  Game is going on. 
03-05 01:06:46  Game is going on. 
03-05 01:06:46  Looking for image: bk1.png 
03-05 01:07:10  Game is going on. 
03-05 01:07:10  Looking for image: bk1.png 
03-05 01:07:34  Game is going on. 
03-05 01:07:34  Looking for image: bk1.png 
03-05 01:07:39  I Give up 
03-05 01:08:03  Looking for image: bk1.png 
03-05 01:08:03  Total have win: 0 
03-05 01:08:03  Start Match 
03-05 01:08:06  start round match 
03-05 01:08:08  Looking for image: matching.png 
03-05 01:08:08  Still in matching 
03-05 01:08:11  Looking for image: matching.png 
03-05 01:08:11  Still in matching 
03-05 01:08:13  Looking for image: matching.png 
03-05 01:08:17  Still in matching 
03-05 01:08:19  Looking for image: matching.png 
03-05 01:08:25  Not found matching.png, maybe match done 
03-05 01:08:28  Looking for image: matching.png 
03-05 01:08:33  Not found matching.png, maybe match done 
03-05 01:08:35  Looking for image: matching.png 
03-05 01:08:41  Not found matching.png, maybe match done 
03-05 01:08:41  matching done 
03-05 01:08:41  Game is going on. 
03-05 01:08:51  Select card. 
03-05 01:08:56  Wait for succeed 
03-05 01:08:56  Game is going on. 
03-05 01:09:14  Game is going on. 
03-05 01:09:14  Looking for image: bk1.png 
03-05 01:09:38  Game is going on. 
03-05 01:09:38  Looking for image: bk1.png 
03-05 01:10:02  Game is going on. 
03-05 01:10:02  Looking for image: bk1.png 
03-05 01:10:08  I Give up 
03-05 01:10:31  Looking for image: bk1.png 
03-05 01:10:32  Total have win: 0 
03-05 01:10:32  Start Match 
03-05 01:10:34  start round match 
03-05 01:10:36  Looking for image: matching.png 
03-05 01:10:37  Still in matching 
03-05 01:10:39  Looking for image: matching.png 
03-05 01:10:40  Still in matching 
03-05 01:10:42  Looking for image: matching.png 
03-05 01:10:42  Still in matching 
03-05 01:10:45  Looking for image: matching.png 
03-05 01:10:45  Still in matching 
03-05 01:10:47  Looking for image: matching.png 
03-05 01:10:48  Still in matching 
03-05 01:10:50  Looking for image: matching.png 
03-05 01:10:51  Still in matching 
03-05 01:10:53  Looking for image: matching.png 
03-05 01:11:00  Not found matching.png, maybe match done 
03-05 01:11:02  Looking for image: matching.png 
03-05 01:11:09  Not found matching.png, maybe match done 
03-05 01:11:11  Looking for image: matching.png 
03-05 01:11:17  Not found matching.png, maybe match done 
03-05 01:11:17  matching done 
03-05 01:11:17  Game is going on. 
03-05 01:11:27  Select card. 
03-05 01:11:33  Wait for succeed 
03-05 01:11:33  Game is going on. 
03-05 01:11:51  Game is going on. 
03-05 01:11:51  Looking for image: bk1.png 
03-05 01:12:15  Game is going on. 
03-05 01:12:15  Looking for image: bk1.png 
03-05 01:12:40  Game is going on. 
03-05 01:12:40  Looking for image: bk1.png 
03-05 01:12:47  I Give up 
03-05 01:13:10  Looking for image: bk1.png 
03-05 01:13:11  Total have win: 0 
03-05 01:13:11  Start Match 
03-05 01:13:13  start round match 
03-05 01:13:15  Looking for image: matching.png 
03-05 01:13:16  Still in matching 
03-05 01:13:18  Looking for image: matching.png 
03-05 01:13:19  Still in matching 
03-05 01:13:21  Looking for image: matching.png 
03-05 01:13:21  Still in matching 
03-05 01:13:24  Looking for image: matching.png 
03-05 01:13:24  Still in matching 
03-05 01:13:26  Looking for image: matching.png 
03-05 01:13:27  Still in matching 
03-05 01:13:29  Looking for image: matching.png 
03-05 01:13:32  Still in matching 
03-05 01:13:34  Looking for image: matching.png 
03-05 01:13:41  Not found matching.png, maybe match done 
03-05 01:13:43  Looking for image: matching.png 
03-05 01:13:49  Not found matching.png, maybe match done 
03-05 01:13:51  Looking for image: matching.png 
03-05 01:13:57  Not found matching.png, maybe match done 
03-05 01:13:57  matching done 
03-05 01:13:57  Game is going on. 
03-05 01:14:07  Select card. 
03-05 01:14:13  Wait for succeed 
03-05 01:14:13  Game is going on. 
03-05 01:14:31  Game is going on. 
03-05 01:14:31  Looking for image: bk1.png 
03-05 01:14:55  Game is going on. 
03-05 01:14:55  Looking for image: bk1.png 
03-05 01:15:20  Game is going on. 
03-05 01:15:20  Looking for image: bk1.png 
03-05 01:15:27  I Give up 
03-05 01:15:50  Looking for image: bk1.png 
03-05 01:15:50  Total have win: 0 
03-05 01:15:50  Start Match 
03-05 01:15:53  start round match 
03-05 01:15:55  Looking for image: matching.png 
03-05 01:15:56  Still in matching 
03-05 01:15:58  Looking for image: matching.png 
03-05 01:15:58  Still in matching 
03-05 01:16:01  Looking for image: matching.png 
03-05 01:16:01  Still in matching 
03-05 01:16:04  Looking for image: matching.png 
03-05 01:16:04  Still in matching 
03-05 01:16:06  Looking for image: matching.png 
03-05 01:16:07  Still in matching 
03-05 01:16:09  Looking for image: matching.png 
03-05 01:16:10  Still in matching 
03-05 01:16:12  Looking for image: matching.png 
03-05 01:16:18  Not found matching.png, maybe match done 
03-05 01:16:20  Looking for image: matching.png 
03-05 01:16:26  Not found matching.png, maybe match done 
03-05 01:16:28  Looking for image: matching.png 
03-05 01:16:34  Not found matching.png, maybe match done 
03-05 01:16:34  matching done 
03-05 01:16:34  Game is going on. 
03-05 01:16:44  Select card. 
03-05 01:16:49  Wait for succeed 
03-05 01:16:49  Game is going on. 
03-05 01:17:07  Game is going on. 
03-05 01:17:07  Looking for image: bk1.png 
03-05 01:17:30  Game is going on. 
03-05 01:17:30  Looking for image: bk1.png 
03-05 01:17:54  Game is going on. 
03-05 01:17:54  Looking for image: bk1.png 
03-05 01:18:00  I Give up 
03-05 01:18:24  Looking for image: bk1.png 
03-05 01:18:24  Total have win: 0 
03-05 01:18:24  Start Match 
03-05 01:18:26  start round match 
